universityId,universityGroupId,name,campusName,emblem,status,fileExists
"woosuk-university-본교","woosuk-university-본교","우석대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"yong-in-university-본교","yong-in-university-본교","용인대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"yewon-arts-university-제2캠퍼","yewon-arts-university-제2캠퍼","예원예술대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"tech-university-of-korea-본교","tech-university-of-korea-본교","한국공학대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hankyong-national-university-본교","hankyong-national-university-본교","한경국립대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"pyeongtaek-university-본교","pyeongtaek-university-본교","평택대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"calvin-university-본교","calvin-university-본교","칼빈대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chuncheon-national-university-of-education-본교","chuncheon-national-university-of-education-본교","춘천교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chugye-university-for-the-arts-본교","chugye-university-for-the-arts-본교","추계예술대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chongshin-university-본교","chongshin-university-본교","총신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chodang-university-본교","chodang-university-본교","초당대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"cheongju-university-본교","cheongju-university-본교","청주대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"cheongju-national-university-of-education-본교","cheongju-national-university-of-education-본교","청주교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chungwoon-university-본교","chungwoon-university-본교","청운대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"changshin-university-본교","changshin-university-본교","창신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"cha-university-본교","cha-university-본교","차의과학대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chinju-national-uinversity-of-education-본교","chinju-national-uinversity-of-education-본교","진주교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"jungwon-university-본교","jungwon-university-본교","중원대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"joong-ang-sangha-university-본교","joong-ang-sangha-university-본교","중앙승가대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chung-ang-university-제2캠퍼","chung-ang-university-제2캠퍼","중앙대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"joongbu-university-본교","joongbu-university-본교","중부대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
